Topic,Total_Obs,NonZero_Obs,Coverage_%,Mean_All,Mean_NonZero,Std_NonZero,Median_NonZero,Max,P95,P75
Opportunities,82348,7048,8.55879924224025,0.022995384137024698,0.2686753537054072,0.25400163568668194,0.1764705882352941,1.0,0.1428571428571428,0.0
Regulation,82348,1232,1.496089765385923,0.0025842464020296315,0.17273337882657153,0.2078169830310374,0.0909090909090909,1.0,0.0,0.0
Physical_Risk,82348,1551,1.8834701510662066,0.0032310684448096623,0.17154869393500066,0.21825518615711725,0.0909090909090909,1.0,0.0,0.0
Transition_Risk,82348,2466,2.9946082479234466,0.005467047719807222,0.1825630355355576,0.2270864862870786,0.0944940476190476,1.0,0.0,0.0
Disclosure,82348,2109,2.5610822363627532,0.004963275511776005,0.1937960226855052,0.23018510061272615,0.1111111111111111,1.0,0.0,0.0
Paris_Agreement,82348,334,0.4055957643172876,0.0005616772664549555,0.13848203454500804,0.17695224464010448,0.0769230769230769,1.0,0.0,0.0
Eu_Ets,82348,537,0.6521105552047409,0.0012371876344625828,0.18972053505162903,0.22645201410803706,0.1,1.0,0.0,0.0
Carbon_Pricing,82348,685,0.8318356244231797,0.00163427050298377,0.19646555821855108,0.2485926059036482,0.1,1.0,0.0,0.0
Green_Deal,82348,194,0.23558556370525088,0.00038635061943969316,0.16399588046195798,0.203113208604094,0.0833333333333333,1.0,0.0,0.0
Inflation_Reduction_Act,82348,1111,1.3491523777140915,0.002267233311309597,0.16804872071982238,0.20984511464658823,0.0909090909090909,1.0,0.0,0.0
Tcfd,82348,515,0.625394666537135,0.0009686632432214261,0.1548883121413553,0.20040439701868507,0.0769230769230769,1.0,0.0,0.0
